,State_Name,District_Name,Crop,Population,Ratio,Per,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
32,Andhra Pradesh,ANANTAPUR,Sunflower,3639304,0.0015,8.72,4030.89311,4509.0028,4506.91,4985.556,4982.94,4987.67496,5458.956,5940.653683,5934.976963,6406.4874,6411
33,Andhra Pradesh,ANANTAPUR,Tobacco,3639304,0.00015,8.72,403.089311,450.89928,450.69,498.5516,498.29,498.763496,545.8956,594.0653683,593.4976963,640.64874,641.1
34,Andhra Pradesh,ANANTAPUR,Gram,3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
35,Andhra Pradesh,ANANTAPUR,Wheat,3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
36,Andhra Pradesh,ANANTAPUR,Masoor,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
37,Andhra Pradesh,ANANTAPUR,Sesamum,3639304,0.0015,8.72,4030.89311,4509.0028,4506.91,4985.556,4982.94,4987.67496,5458.956,5940.653683,5934.976963,6406.4874,6411
38,Andhra Pradesh,ANANTAPUR,Urad,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
39,Andhra Pradesh,ANANTAPUR,Linseed,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
40,Andhra Pradesh,ANANTAPUR,Safflower,3639304,0.0015,8.72,4030.89311,4509.0028,4506.91,4985.556,4982.94,4987.67496,5458.956,5940.653683,5934.976963,6406.4874,6411
41,Andhra Pradesh,ANANTAPUR,Onion,3639304,0.001,8.72,2687.262074,3006.0052,3004.61,3323.704,3321.96,3325.11664,3639.304,3960.435789,3956.651309,4270.9916,4274
42,Andhra Pradesh,ANANTAPUR,other misc. pulses,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
43,Andhra Pradesh,ANANTAPUR,Samai,3639304,0.000125,8.72,335.9077592,375.7544,375.58,415.458,415.24,415.63458,454.913,495.0544736,494.5814136,533.87395,534.25
44,Andhra Pradesh,ANANTAPUR,Small millets,3639304,0.0005,8.72,1343.631037,1502.9976,1502.3,1661.852,1660.98,1662.55832,1819.652,1980.217894,1978.325654,2135.4958,2137
45,Andhra Pradesh,ANANTAPUR,Arecanut,3639304,0.000125,8.72,335.9077592,375.7544,375.58,415.458,415.24,415.63458,454.913,495.0544736,494.5814136,533.87395,534.25
46,Andhra Pradesh,ANANTAPUR,Banana,3639304,0.00075,8.72,2015.446555,2254.5064,2253.46,2492.778,2491.47,2493.83748,2729.478,2970.326842,2967.488482,3203.2437,3205.5
47,Andhra Pradesh,ANANTAPUR,Coconut ,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
48,Andhra Pradesh,ANANTAPUR,Coriander,3639304,0.00025,8.72,671.8155184,751.4988,751.15,830.926,830.49,831.27916,909.826,990.1089472,989.1628272,1067.7479,1068.5
